Name,Current Price,Old Price,Discount,Date
"HP Refurbished EliteBook 830 G5 Touchscreen Core I5 8GB RAM 256GB SSD 8th Gen 13.3"" Slim Laptop Windows 11 Pro Office 2021 plus complete charger","KSh 35,000","KSh 36,000",3%,2025-07-05
"HP Refurbished ProBook 440 G5 Core I5 8GB RAM 256GB SSD 14"" 8th Gen Ultra-Slim Laptop + Bag .","KSh 24,999","KSh 30,000",17%,2025-07-05
"HP EliteBook 820 G3 Intel Core I5 16GB-512GB SSD 6th Gen Refurbished  Silver-12.6"", 6 Months WRTY","KSh 25,000","KSh 35,000",29%,2025-07-05
"HP EliteBook 820 G2 Core I5 5th Gen 8GB Ram 500GB HDD 12.5"" 2.3GHz Win 10 Renewed","KSh 15,479","KSh 27,000",43%,2025-07-05
"HP 8GB Ram 500GB HDD, 6th Generation, Refurbished EliteBook 840 G3 Intel Core I5, 14"" Inches Screen Display, Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Charger + Wireless Mouse + Mouse Pad + Free Extension.","KSh 25,500","KSh 40,000",36%,2025-07-05
"HP EliteBook 830 G5 Core I5 8250U 8GB 256GB -Refurbished-13.3""'.Silver","KSh 25,999","KSh 45,999",43%,2025-07-05
"Lenovo Thinkpad T460 Core I5 8GB Ram 500GB HDD, 6th Generation 14″ RENEWED","KSh 26,999","KSh 32,000",16%,2025-07-05
"Asus Chromebook C202S, Intel Celeron, Storage 16GB eMMC SSD / 4GB RAM ,HDMI ,Playstore ,WebCam, Chrome OS, Refurb.","KSh 8,299","KSh 17,398",52%,2025-07-05
"DELL Renewed Latitude 7280, Core I5 -7300U 7th Gen 2.60GHz, 8GB RAM, 256GB SSD, - 12.5""","KSh 17,998","KSh 30,000",40%,2025-07-05
Lenovo Refurbished Thinkpad 11E  Celeron - 4 GB RAM - SSD 128GB 11.6'' - Black  (6 Months WRTY),"KSh 9,197","KSh 19,500",53%,2025-07-05
Lenovo BRAND NEW IDEAPAD 1 CELERON 4GB 128SSD  PRO 14'' INCHES (6MONTHS WRTY),"KSh 30,000","KSh 40,000",25%,2025-07-05
"Lenovo Refurbished Yoga 11e -x360 Touch Screen- Intel Celeron 8GB 256GB SSD,Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Free Wireless Mouse + Charger + Mouse Pad.","KSh 22,500","KSh 29,000",22%,2025-07-05
"HP  Refurbished EliteBook 640GB HDD, 8GB RAM, Intel Core I5, 14'' Windows 11 PRO Activated, Office & Basic software Installed, Free Bag + Free wireless mouse + Charger + Mouse Pad","KSh 18,999","KSh 35,000",46%,2025-07-05
"HP Refurbished Elitebook 820 G3 Core I5 16GB RAM 1TB HDD 6th Gen 12.5"", 6 Months WRTY","KSh 24,999","KSh 27,000",7%,2025-07-05
"HP EliteBook 820 G3 Intel Core I5 6th Gen Refurbished 16GB-500GB HDD Silver-12.6"", 6 Months WRTY","KSh 22,000","KSh 25,000",12%,2025-07-05
HP EliteBook 820 Core I5 4gb RAM HDD 500GB REFURBISHED,"KSh 16,400","KSh 26,999",39%,2025-07-05
HP Refurbished EliteBook 820 G3  Intel Core I5 8 GB RAM SDD 256GB,"KSh 26,999",N/A,N/A,2025-07-05
